player_id,name,position,number,instagram_url,profile_format,profile_detail
344247,Luca Gunter,Goalkeeper,1,,,
31354,G. Vicario,Goalkeeper,1,https://www.instagram.com/guglielmovicario/,,
265826,A. Kinský,Goalkeeper,31,,labelled_lines_v1,"生まれ::2003年3月13日、チェコ・プラハ
国籍::チェコ
ポジション::ゴールキーパー
身長・利き足::190cm / 右利き
経歴::2009-2017: テンポ・プラハ
2017-2018: ボヘミアンス1905
2018-2020: ドゥクラ・プラハ（下部組織）
2020-2021: ドゥクラ・プラハ
2021-2025: スラヴィア・プラハ
2022-2023: ビシュコフ（期限付き移籍）
2023-2024: パルドゥビツェ（期限付き移籍）
2025-: トッテナム
特徴::サイズを生かしたハイボール処理と、至近距離でも身体を残せる反射神経が持ち味です。前に出る判断が速く、背後の広いスペースを使うチームでもラインを押し上げやすい、現代型の守護神として評価されています。
監督・選手の発言::加入時にはクラブ公式で、プレミアリーグとトッテナムを「大きな挑戦」と位置づけていました。父も元チェコ代表GKで、自身も早い段階からトップレベルを意識してキャリアを選んできたことが伝わるコメントでした。
記録::2024年にチェコ年間最優秀若手選手を受賞。スラヴィア・プラハではローン修行を経てトップチームの正GK争いに食い込み、国内上位争いの経験を積んでいます。
面白いエピソード::父のアントニーン・キンスキーも元チェコ代表ゴールキーパーで、親子2代のGKとして知られます。チェコの名門を渡り歩きながら段階的に出場機会を増やし、ローン先での実戦経験を武器に一気に評価を上げました。
意外な経歴::ドゥクラ・プラハでプロ入りした後、すぐにビッグクラブで固定されたわけではなく、ビシュコフとパルドゥビツェへのローンで出場数を積み上げてきた叩き上げ型です。華やかな直行ルートではなく、実戦で鍛えられてトッテナム到達へつなげています。"
156428,B. Austin,Goalkeeper,40,,,
162498,R. Drăgușin,Defender,3,https://www.instagram.com/radudragusin5/,,
25287,K. Danso,Defender,4,https://www.instagram.com/kevindanso/,labelled_lines_v1,"生まれ::1998年9月19日、オーストリア・フォイツベルク
国籍::オーストリア
ポジション::センターバック
身長・利き足::190cm / 右利き
経歴::2006-2014: レディング、MKドンズなどイングランドで育成
2014-2017: アウクスブルク（下部組織）
2016-2021: アウクスブルク
2019-2020: サウサンプトン（期限付き移籍）
2020-2021: フォルトゥナ・デュッセルドルフ（期限付き移籍）
2021-2025: ランス
2025-: トッテナム
特徴::対人守備の強さとリカバリーの速さを兼ね備えた右利きのセンターバックです。空中戦でも地上戦でも強度を出せるうえ、押し込まれた場面でも前に潰しに出られるため、ラインを高く保ちたいチームと相性が良いタイプです。
監督・選手の発言::加入時にはクラブ公式で、トッテナム行きを「大きなチャンス」と表現していました。イングランド育ちでもあるため、プレミアリーグ挑戦をキャリアの自然な次の段階として捉えていたことがうかがえます。
記録::2017年に10代でオーストリア代表デビューを果たし、複数年代の代表を経ずにA代表へ早くから食い込んだ有望株でした。ランス時代にはリーグ・アン屈指のデュエル勝率を誇る守備者として評価を高めています。
面白いエピソード::生まれはオーストリアですが、6歳でイングランドへ移り、MKドンズ周辺で育った経歴の持ち主です。大陸型CBのサイズ感と、イングランド育ちのフィジカル文化が同居しているのがキャリアの面白さです。
意外な経歴::サウサンプトン時代はプレミアリーグで定着できず遠回りも経験しましたが、ドイツとフランスで再構築してから再びイングランド上陸を果たしました。一直線のエリート街道ではなく、複数リーグを経て完成度を高めた再上陸型のDFです。"
459203,M. Hardy,Defender,5,,,
41104,João Palhinha,Defender,6,https://www.instagram.com/joaopalhinha6/,,
204039,D. Udogie,Defender,13,https://www.instagram.com/destinyudogie/,,
30776,C. Romero,Defender,17,https://www.instagram.com/cutiromero2/,labelled_lines_v1,"生まれ::1998年4月27日、アルゼンチン・コルドバ
国籍::アルゼンチン
ポジション::センターバック
身長・利き足::185cm / 右利き
経歴::2016-2018: ベルグラーノ
2018-2019: ジェノア
2019-2020: ユヴェントス
2019-2020: ジェノア（期限付き移籍）
2020-2022: アタランタ
2022-: トッテナム
特徴::前に潰しに出る守備の迫力と、対人局面での勝ち切る強さが最大の武器です。単に激しいだけではなく、インターセプトの読みと縦パスの差し込みも優秀で、ハイラインの番人として試合のテンポそのものを変えられます。
監督・選手の発言::クラブ内外でリーダーシップと闘争心を高く評価されてきた選手です。アルゼンチン代表でもトッテナムでも、最終ラインを統率する存在として期待される文脈が一貫しています。
記録::2020-21シーズンにセリエA最優秀DFを受賞。アルゼンチン代表では2022年ワールドカップ優勝メンバーであり、コパ・アメリカ制覇も経験している国際舞台の実績十分なセンターバックです。
面白いエピソード::愛称の「クティ」はアルゼンチンのファンにも広く浸透しており、荒々しさと愛嬌が同居したキャラクターとして知られます。南米的な熱量をそのままプレーに乗せるタイプで、試合の空気を一気にトッテナム側へ引き寄せる力があります。
意外な経歴::キャリア初期はベルグラーノから欧州へ一気に駆け上がりましたが、ユヴェントスで即主力になったわけではなく、ローンを挟んでアタランタで評価を爆発させました。最短距離のエリートというより、移籍市場を渡りながら完成度を高めた上昇型のDFです。"
