player_id,name,position,number,instagram_url,profile_format,profile_detail
182718,Joan García,Goalkeeper,13,https://www.instagram.com/__joangarcia/,labelled_lines_v1,"生まれ::2001年5月4日、スペイン・サバデル
国籍::スペイン
ポジション::ゴールキーパー
身長・利き足::191cm / 右投げ右打ち（利き足は右）
経歴::2016-2021: エスパニョール（ユース・Bチーム）
2021-2025: エスパニョール
2025-: バルセロナ
移籍金::2025年6月、バルセロナが契約解除金の2500万ユーロを支払い獲得。
特徴::圧倒的なセービング能力と、現代的な足元の技術を兼ね備えた大型守備守護神。2024-25シーズンのラ・リーガでリーグ最多の145セーブを記録し、エスパニョールの躍進を支えた。バルセロナ加入後もすぐに定着し、2025-26シーズンは多くのクリーンシートを達成している。
監督・選手の発言::パリオリンピックを戦ったスペイン代表での活躍も含め、「次世代のスペイン代表正GK候補」として高く評価されている。バルセロナのスカウト陣は「彼の冷静さとビルドアップ能力は我々のスタイルに完璧にフィットする」と獲得時に語った。
記録::2024-25シーズン ラ・リーガ・セーブ数1位。2024年パリオリンピック金メダリスト。バルセロナ通算出場試合ですでに10回以上の完封（クリーンシート）を記録している。
面白いエピソード::もともとはフィールドプレーヤーだったが、兄がゴールキーパーをしていた影響で、自身もグローブをはめるようになったという。
意外な経歴::15歳でエスパニョールの下部組織に入るまでは、地元の小クラブを転々としており、比較的遅咲きの部類に入るが、加入後の成長スピードが異常に速かったことで知られる。"
851,W. Szczęsny,Goalkeeper,25,https://www.instagram.com/wojciech.szczesny1/,labelled_lines_v1,"生まれ::1990年4月18日、ポーランド・ワルシャワ
国籍::ポーランド
ポジション::ゴールキーパー
身長・利き足::196cm / 右利き
経歴::2009-2015: アーセナル
2017-2024: ユヴェントス
2024-: バルセロナ
特徴::196cmの巨体を活かした圧倒的なリーチと、長年の経験に裏打ちされたポジショニング。2024年夏に一度は現役を引退したが、テア・シュテーゲンの重傷を受けてバルセロナからのオファーを受け、電撃復帰を果たした。
監督・選手の発言::復帰の際、「バルセロナからの誘いに『ノー』と言える人間はいない」という名言を残した。フリック監督も「彼の経験値は、テア・シュテーゲン不在の緊急事態において最高の処方箋だ」と信頼を寄せる。
記録::プレミアリーグのゴールデングローブ賞（2013-14）、セリエA最優秀GK（2019-20）受賞。2022年W杯ではリオネル・メッシのPKを止めたことでも知られる。
面白いエピソード::8歳でサッカーに専念する前は、ボールルームダンス（社交ダンス）に真剣に取り組んでおり、槍投げにも挑戦していた。
意外な経歴::父親のマチェイ・シュチェスニーもプロのゴールキーパーであり、ポーランドの異なる4つのクラブでリーグ優勝を経験したレジェンド。"
383647,D. Kochen,Goalkeeper,31,https://www.instagram.com/diegokochen/,labelled_lines_v1,"生まれ::2006年3月19日、アメリカ合衆国・マイアミ
国籍::アメリカ / ヴェネズエラ / ペルー
ポジション::ゴールキーパー
身長・利き足::190cm / 右利き
経歴::2019-2024: バルセロナ（ラ・マシア）
2024-: バルセロナB / トップチーム
特徴::190cmの長身と落ち着いた判断力が魅力のアメリカ産守護神。ガーディアン紙が選ぶ「2006年生まれの世界最高の若手」にも選出された、ラ・マシア期待の星。
監督・選手の発言::若くしてアメリカ代表にも招集されるなど、そのポテンシャルは世界から注目されている。バルサのスタッフは「彼の足元の技術はフィールドプレーヤー並みで、バルサのスタイルに最適だ」と語る。
記録::2023年、アメリカのクラブ・アメリカとの親善試合でトップチームデビュー。2024-25シーズンにはバルセロナU19でUEFAユースリーグを制覇した。
面白いエピソード::5歳の頃から「僕はゴールキーパーになるんだ」と言い張り、その意志を貫き通した。
意外な経歴::母親の仕事（DHL勤務）の都合で2018年にバルセロナへ移住したことが、ラ・マシア入りのきっかけとなった。アメリカ、ヴェネズエラ、ペルーの3カ国の代表資格を持っており、最終的にどの代表を選ぶかでも注目を集めている（現在はアメリカ代表）。"
543468,Eder Aller,Goalkeeper,33,,,
855,João Cancelo,Defender,2,https://www.instagram.com/jpcancelo/,labelled_lines_v1,"生まれ::1994年5月27日、ポルトガル・バレイロ
国籍::ポルトガル
ポジション::右サイドバック / 左サイドバック
身長・利き足::182cm / 右利き
経歴::2012-2015: ベンフィカ
2014-2018: バレンシア (2014-15はローン)
2017-2018: インテル (ローン)
2018-2019: ユヴェントス
2019-2024: マンチェスター・シティ
2023-2024: バルセロナ (ローン)
2023: バイエルン・ミュンヘン (ローン)
2024-2025: アル・ヒラル
2026-: バルセロナ (ローン)
移籍金::2026年1月にサウジアラビアのアル・ヒラルから再ローンでバルセロナへ加入。
特徴::サイドバックの枠を超えた攻撃センスとテクニックを持つ「偽サイドバック」の先駆者。アウトサイドを使った絶妙なパスや、中盤に入り込んでのゲームメイク、強烈なミドルシュートでチャンスを演出する。
監督・選手の発言::グアルディオラ監督は「彼は信じられないほどの才能を持っており、サイドバックでありながら中盤の選手のようにプレーできる」と称賛。バルセロナ復帰の際も、クラブへの強い愛着が復帰の決め手となった。
記録::プレミアリーグ、セリエA、ブンデスリーガ、プリメイラ・リーガの4カ国でリーグ優勝を経験。ポルトガル代表としてもUEFAネーションズリーグ初代王者に輝いている。
面白いエピソード::大のバルセロナファンであることを公言しており、2023年に初めて加入した際には「子供の頃からの夢だった。ベンフィカ以外でプレーしたかったのはバルセロナだけだ」と語った。
意外な経歴::18歳の時に母親を交通事故で亡くすという悲劇に見舞われた。引退も考えたが、父親の励ましと「母のために成功する」という決意でプロの道を歩み続け、今でもゴール後には空を見上げて母に捧げるポーズを見せる。"
161928,Alejandro Balde,Defender,3,https://www.instagram.com/alejandrobalde/,,
101814,R. Araújo,Defender,4,https://www.instagram.com/ronaldaraujo_4/,labelled_lines_v1,"生まれ::1999年3月7日、ウルグアイ・リベラ
国籍::ウルグアイ
ポジション::センターバック / 右サイドバック
身長・利き足::188cm / 右利き
経歴::2018-2020: バルセロナB
2020-: バルセロナ
特徴::圧倒的なフィジカルとスプリント能力、そして「1対1で抜かれない」粘り強い守備が持ち味。レアル・マドリードのヴィニシウスが「今まで対戦した中で最高のディフェンダー」と認めるほどの対人能力を誇る。
監督・選手の発言::バルセロナの第3キャプテンも務めるリーダー。フリック監督も「彼がいるだけで守備ラインの強度が一段階上がる」と全幅の信頼を置く。
記録::2024-25シーズン、バルセロナ通算200試合出場を達成。同シーズンの三冠（ラ・リーガ、コパ、スーペルコパ）の防衛に大きく貢献。
面白いエピソード::2024年夏のコパ・アメリカで重傷を負い、半年間の長期離脱を余儀なくされたが、2025年1月の復帰後すぐにトップフォームを取り戻した。敬虔なクリスチャンであり、精神面を整えるためにイスラエルのエルサレムで休暇を過ごすこともある。
意外な経歴::10歳でサッカーを始めた当初はフォワードだったが、ウルグアイ時代の恩師によってセンターバックへコンバートされ、その才能が開花した。"
396623,Pau Cubarsí Paredes,Defender,5,https://www.instagram.com/paucubarsi/,labelled_lines_v1,"生まれ::2007年1月22日、スペイン・エスタニョル
国籍::スペイン
ポジション::センターバック
身長・利き足::184cm / 右利き
経歴::2014-2018: ジローナFC（ユース）
2018-2024: バルセロナ（ラ・マシア）
2024-: バルセロナ
特徴::「ピケの再来」と称される、現代的でエレガントなセンターバック。最終ラインからの正確なロングフィードや縦パスで攻撃の起点となり、守備時も冷静なポジショニングと的確なタックルでピンチの芽を摘む。
監督・選手の発言::チャビ元監督は「パウが足元にボールを持っていると、私の心拍数は上がらない。彼はプレッシャーの中でも常に正しいパスコースを見つけ出す冷静さを持っている」と、そのビルドアップ能力を高く評価。
記録::CL決勝トーナメントのナポリ戦において17歳50日で先発デビューを果たし、マン・オブ・ザ・マッチを獲得。CL準々決勝に先発した史上最年少のDF（17歳79日）の記録も持つ。
面白いエピソード::バルセロナのレジェンドであるカルレス・プジョルから「彼のプレーは見ていて楽しい」と直接称賛されたことがある。トップチーム昇格後も学業との両立を重視し、遠征先にも宿題を持参して勉強に取り組んでいた。
意外な経歴::カタルーニャの小さな村エスタニョル出身。実家は木工所を営んでおり、幼い頃は父親の仕事場で木材を使って簡単なサッカーゴールを作って遊んでいたという。"
414433,P. PacÃ­fico,Defender,14,,,
2282,A. Christensen,Defender,15,https://www.instagram.com/andreaschristensen3/,,
181701,Gerard Martín,Defender,18,https://www.instagram.com/geraardmartin/,labelled_lines_v1,"生まれ::2002年2月26日、スペイン・アプレラ・デ・リョブレガート
国籍::スペイン
ポジション::左サイドバック / センターバック
身長・利き足::186cm / 左利き
経歴::2018-2023: コルネジャ
2023-2024: バルセロナB
2024-: バルセロナ
特徴::屈強なフィジカルと正確な左足を持つ多機能なディフェンダー。左サイドバックを主戦場としながら、186cmの長身を活かしてセンターバックもこなす。2024-25シーズンの三冠達成メンバーの一人であり、ハンス＝ディーター・フリック監督下で出場機会を大幅に増やした。
監督・選手の発言::フリック監督は「ジェラールは非常に規律正しく、守備のマルチロールとして信頼できる。彼の空中戦の強さはチームに安定感をもたらす」と評している。
記録::2024年8月のバレンシア戦でトップチームデビュー。2024-25シーズンの国内三冠（ラ・リーガ、コパ・デル・レイ、スーペルコパ）のすべてでプレー機会を得た。2025年3月にはスペインU21代表にも選出されている。
面白いエピソード::バルサBでの1年目に不動のレギュラーとして頭角を現し、その実力が認められて即座にトップチームへ昇格した。
意外な経歴::2025年3月のレアル・ソシエダ戦でプロ初ゴールを記録。サイドバックでありながら、機を逃さない攻撃参加も持ち味の一つ。"
1257,J. Koundé,Defender,23,https://www.instagram.com/jkeey4/,,
619,Eric García,Defender,24,https://www.instagram.com/ericgm3/,labelled_lines_v1,"生まれ::2001年1月9日、スペイン・マルトレル
国籍::スペイン
ポジション::センターバック / 守備的MF
身長・利き足::182cm / 右利き
経歴::2008-2017: バルセロナ（ラ・マシア）
2017-2021: マンチェスター・シティ
2021-: バルセロナ
2023-2024: ジローナ（ローン）
移籍金::マンチェスター・シティからフリー移籍でバルセロナへ復帰。
特徴::卓越した足元の技術と戦術眼を持つビルドアップの要。冷静に相手のプレスを剥がし、前線へ正確な楔のパスを打ち込む。ハンス＝ディーター・フリック体制ではセンターバックだけでなく、ボランチとしても新境地を開拓した。
監督・選手の発言::グアルディオラ監督はシティ時代に「彼は非常に賢く、常に監督が何を求めているかを理解している。17歳とは思えない完成度だ」と絶賛。バルセロナのチーム内でもリーダーシップが高く評価されている。
記録::2024年パリオリンピックでスペイン代表の守備の柱として金メダルを獲得。2025年3月にはバルセロナでの通算100試合出場を達成した。
面白いエピソード::バルセロナのアカデミー時代からキャプテンを務めることが多く、そのプレースタイルとリーダーシップから「プジョルの心を持つピケ」と称されたこともある。
意外な経歴::名字の「ガルシア」はスペインで最も多い名字であり、彼はバルセロナの歴史の中で同姓を持つ23人目の選手である。"
491250,Jofre Torrents,Defender,26,https://www.instagram.com/jofre.torrents/,,
568001,X. Espart,Defender,42,,labelled_lines_v1,"生まれ::2007年5月21日、スペイン・バルセロナ
国籍::スペイン
ポジション::右サイドバック / 守備的MF
身長・利き足::175cm / 右利き
経歴::2015-: バルセロナ（ラ・マシア）
特徴::8歳からバルサ一筋で育った「ラ・マシアの申し子」。右サイドバックとアンカーの両方をハイレベルでこなすユーティリティ性が最大の武器。2025-26シーズンには18歳にしてバルサB（バルサ・アトレティック）のキャプテンの一人に選ばれた。
監督・選手の発言::ユース時代のコーチ陣は「彼は戦術理解能力が飛び抜けて高く、ピッチ上の監督になれる逸材」と評価している。
記録::2024-25シーズンのUEFAユースリーグを制覇。2025年からはトップチームのベンチ入り（対ジローナ戦、レアル・マドリード戦など）も果たし、デビューが待望されている。
面白いエピソード::バルサBのキャプテン就任時、「8歳からここにいる僕にとって、この腕章は重みが違う。チームのために死ぬ気で戦う」と宣言した熱血漢。
意外な経歴::2025年夏、クラブはその将来性を高く評価し、2028年までの長期契約と破格の条件で契約を更新した。"
457214,J. Onstein,Defender,54,,,
133609,Pedri,Midfielder,8,https://www.instagram.com/pedri/,labelled_lines_v1,"生まれ::2002年11月25日、スペイン・テネリフェ
国籍::スペイン
ポジション::セントラルMF / 攻撃的MF
身長・利き足::174cm / 右利き
経歴::2019-2020: ラス・パルマス
2020-: バルセロナ
特徴::異次元のボールコントロールと「ピッチを上空から見ている」かのような広い視野を誇る、バルセロナとスペインの至宝。相手の急所を突くスルーパスと、狭い局面でも涼しい顔で剥がすターンが持ち味。
監督・選手の発言::ハンス＝ディーター・フリック監督は「彼は魔法の杖を持っているかのようだ。彼がボールを持つだけで、スタジアムの空気が変わる」と称賛。フィジカルトレーニングの刷新により、2024-25シーズン以降は怪我が激減し、フル稼働が可能となった。
記録::2021年にゴールデンボーイとコパ・トロフィーをダブル受賞。2025年5月、22歳171日でバルセロナ通算200試合出場を達成。これはリオネル・メッシの最年少記録を塗り替える歴史的な快挙であった。
面白いエピソード::テネリフェ島にある実家は、祖父が創設したバルセロナのペンニャ（公式ファンクラブ）を運営しており、文字通り「バルサ一家」の中で育った。
意外な経歴::2020-21シーズン、18歳にしてクラブと代表で合計73試合に出場。これはヨーロッパのサッカー史上、1シーズンでプレーした最多試合記録としてギネス級の話題となった。学業も優秀で、かつては医学を志したこともあるほどのインテリ。"
